Start Date,Start Time,End Date,End Time,Location,_link,_trackId,_titleCheck,_eventDescription,_speakers,Description,Subject
14/06/18,10:20 AM,14/06/18,11:00 AM,Atlanbois,https://web2day.co/evenements/1-an-5-clients-12-bots-1-framework-cest-lheure-du-bilan/,278,"1 an, 5 clients, 12 bots, 1 framework : c’est l’heure du bilan !",,"Tanguy DE LIGNIÈRES, Technical Architect @Accenture
Yohann PERRAUD, Lead Developer @Accenture
","1 an, 5 clients, 12 bots, 1 framework : c’est l’heure du bilan !

													
Tanguy DE LIGNIÈRES, Technical Architect @Accenture
Yohann PERRAUD, Lead Developer @Accenture


🌳=Atlanbois
💻=Tech","🌳·💻·1 an, 5 clients, 12 bots, 1 framework : c’est l’heure du bilan !"
13/06/18,3:30 PM,13/06/18,5:10 PM,Trempolino,https://web2day.co/evenements/2068-soyez-realiste-creez-limpossible/,279,"2068: Soyez réaliste, créez l’impossible","Big Brother ou grand frère protecteur, Black Mirror ou miroir enchanté, la technologie s’installe dans nos vies et dans nos villes.
50 ans après mai ’68, une nouvelle prise de pouvoir est en train de s’effectuer. Celle du citoyen qui s’empare de l’innovation pour se créer une ville plus ouverte qui met l’humain au cœur du dispositif, une ville connectée et ingenieuse, bref, une ville qui nous ressemble et nous rassemble.
A quoi ressemblera la smart city en 2068 ? Nous faisons appel à l’intelligence collective et aux techniques de Design Thinking pour ouvrir de nouvelles perspectives et co-créer la ville de demain.
#SmartCity #DesignDesUsages #IoT #Mobilité #Production #Consommation #ServicePublic #Collectif #Participation #DéveloppementDurable #EcoCitoyen




Ce workshop vous est proposé par Capgemini.




                
","Ellen Poirot, Agile Coach @Capgemini
Alexandre RYCKMAN, Responsable Solution Smart City @Capgemini
Maxime BOENNEC, Innovation Lead @Capgemini
","2068: Soyez réaliste, créez l’impossible
Big Brother ou grand frère protecteur, Black Mirror ou miroir enchanté, la technologie s’installe dans nos vies et dans nos villes.
50 ans après mai ’68, une nouvelle prise de pouvoir est en train de s’effectuer. Celle du citoyen qui s’empare de l’innovation pour se créer une ville plus ouverte qui met l’humain au cœur du dispositif, une ville connectée et ingenieuse, bref, une ville qui nous ressemble et nous rassemble.
A quoi ressemblera la smart city en 2068 ? Nous faisons appel à l’intelligence collective et aux techniques de Design Thinking pour ouvrir de nouvelles perspectives et co-créer la ville de demain.
#SmartCity #DesignDesUsages #IoT #Mobilité #Production #Consommation #ServicePublic #Collectif #Participation #DéveloppementDurable #EcoCitoyen




Ce workshop vous est proposé par Capgemini.




                

													
Ellen Poirot, Agile Coach @Capgemini
Alexandre RYCKMAN, Responsable Solution Smart City @Capgemini
Maxime BOENNEC, Innovation Lead @Capgemini


🚌=Trempolino
💼=Corporate","🚌·💼·2068: Soyez réaliste, créez l’impossible"
13/06/18,2:00 PM,13/06/18,2:40 PM,"Mediacampus, Forum",https://web2day.co/evenements/3000e-pour-attaquer-la-coupe-du-monde/,277,3000€ pour attaquer la coupe du monde,"Qui a dit que les paris sportifs ne rapportaient pas d’argent ?
1er Février 2018, je m’attaque à la Coupe du Monde. Après avoir détruit 400 articles, je reprends tout à zéro !
Un seul objectif : séduire Google & conquérir les SERPs !
Audit technique, refonte ergonomique, création de contenus, campagnes de netlinking… Un budget restreint, des micro-optimisations, un peu d’audace, Wallabet.fr décrochera t-il le ticket gagnant ?
La chance est ce qui arrive quand la préparation rencontre l’opportunité !
— Doyle Brunson
","Victor LERAT, Co-founder & SEO consultant  @KHOSI
","3000€ pour attaquer la coupe du monde

													
Victor LERAT, Co-founder & SEO consultant  @KHOSI


🎓=Mediacampus, Forum
💵=Market, com & media",🎓·💵·3000€ pour attaquer la coupe du monde
13/06/18,6:10 PM,13/06/18,7:00 PM,Trempolino,https://web2day.co/evenements/a-la-conquete-des-confins-vertueux-et-lumineux-du-cyber-espace-et-de-la-noosphere/,280,A la conquête des confins vertueux et lumineux du cyber espace et de la nøøsphère.,"
Comment les flux mémétiques de la NøøSphère conduisent le vivant à la conquête du cosmos et du cyber espace en agissant de façon subliminale sur nos destinées.



Visite guidée immersive dans plusieurs cabinets de curiosité mémétique du NøøMuseum de Yann Minh, (une oeuvre d’art numérique et un dispositif pédagogique immersif innovant basé sur la technique des palais de la mémoire) : L’hubris, le mème dont s’efforce de s’affranchir le transhumanisme. Les mèmes de l’arche et de l’apocalypse : des prophéties autoréalisatrices. Darwinisme social, compétition et prédation, versus altruisme, partage et collaboration. Et enfin, pour conclure de façon ludique : Mèmes, et métaphores sexuelles subliminales en art et au cinéma dans les premières galeries virtuelles du NøøMuseum de 2003 construites à partir du FPS Unreal Tournament.

","Yann MINH, Designer 3D @Noo Architect
","A la conquête des confins vertueux et lumineux du cyber espace et de la nøøsphère.

													
Yann MINH, Designer 3D @Noo Architect


🚌=Trempolino
👐=Society & FTW",🚌·👐·A la conquête des confins vertueux et lumineux du cyber espace et de la nøøsphère.
15/06/18,2:40 PM,15/06/18,3:10 PM,Trempolino,https://web2day.co/evenements/a-recherche-de-strategie-digitale/,277,À la recherche de la Stratégie Digitale,"Impossible à arrêter. Pas la peine de vous enfuir ou d’essayer de l’ignorer. Les politiques, la police ou l’armée n’y pourront rien. Il est très violent et votre entreprise peut disparaitre à cause de lui. Seuls ceux qui parviendront à s’adapter au changement seront les seuls survivants du tsunami aussi appelé “Transformation Digitale”. Il faut donc canaliser la vague pour profiter de sa puissance. Comment ? En vous mettant en quête de la stratégie digitale de votre entreprise.
","Jérémy CORMAN, Co-founder @Café numérique
","À la recherche de la Stratégie Digitale

													
Jérémy CORMAN, Co-founder @Café numérique


🚌=Trempolino
💵=Market, com & media",🚌·💵·À la recherche de la Stratégie Digitale
04/06/18,11:40 AM,04/06/18,12:10 PM,Atlanbois,https://web2day.co/evenements/accelerer-la-croissance-de-votre-startup-avec-le-cloud-aws/,276,Accélérer la croissance de votre Startup avec le Cloud AWS,"Descriptif à venir…
","Shayan SANYAL, Startup Business Development Manager @Amazon Web Services
","Accélérer la croissance de votre Startup avec le Cloud AWS
Descriptif à venir…

Shayan SANYAL, Startup Business Development Manager @Amazon Web Services


🌳=Atlanbois
🚀=Startup & entrepreneurship",🌳·🚀·Accélérer la croissance de votre Startup avec le Cloud AWS
13/06/18,10:50 AM,13/06/18,12:00 PM,"Mediacampus, Forum",https://web2day.co/evenements/actions-societales-via-les-facebook-groups-comment-se-reinventent-les-reseau-sociaux/,280,"Actions sociétales via les Facebook Groups , comment se réinventent les réseaux sociaux","Zeynep a cofondé @bisikletli une superbe initiatives qui aide les femmes en Turquie à se déplacer en vélo, un gout d’emancipation dans une ville multiculturelle entre l’Europe et l’Asie.
Chrstian à cofondé Wanted community qui regroupera bientôt un million de membre, le principe est simple, besoin d’un coup de main, d’un conseils, envie de donner une seconde vie à un objet plus nécessaire? La communauté Wanted de votre ville vous y aide.
Des histoires magnifiques de solidarité s’y passent tous les jours et c’est à propos de ces nouveaux canaux d’entres aides que nous allons échanger lors de cette conférence.
Comment démarrer, gérer et fédérer votre communauté.
Au quotidien cette nouvelle façon de vivre et d’encourager l’entraide et très chronophage, sans business model le défi sera d’arriver à les pérenniser, l’entreprise a peut être sont rôle à y jouer?

","Zeynep ARAPOGLU, Co Founder @Bisikletli Kadin Inisiyatifi
Christian DELACHET, co-founder / CEO @Wanted Community
Antoine TRESSE, Gérant / gestion partenariats  @Act2 / Run Eco Team
","Actions sociétales via les Facebook Groups , comment se réinventent les réseaux sociaux
Zeynep a cofondé @bisikletli une superbe initiatives qui aide les femmes en Turquie à se déplacer en vélo, un gout d’emancipation dans une ville multiculturelle entre l’Europe et l’Asie.
Chrstian à cofondé Wanted community qui regroupera bientôt un million de membre, le principe est simple, besoin d’un coup de main, d’un conseils, envie de donner une seconde vie à un objet plus nécessaire? La communauté Wanted de votre ville vous y aide.
Des histoires magnifiques de solidarité s’y passent tous les jours et c’est à propos de ces nouveaux canaux d’entres aides que nous allons échanger lors de cette conférence.
Comment démarrer, gérer et fédérer votre communauté.
Au quotidien cette nouvelle façon de vivre et d’encourager l’entraide et très chronophage, sans business model le défi sera d’arriver à les pérenniser, l’entreprise a peut être sont rôle à y jouer?


Zeynep ARAPOGLU, Co Founder @Bisikletli Kadin Inisiyatifi
Christian DELACHET, co-founder / CEO @Wanted Community
Antoine TRESSE, Gérant / gestion partenariats  @Act2 / Run Eco Team


🎓=Mediacampus, Forum
👐=Society & FTW","🎓·👐·Actions sociétales via les Facebook Groups , comment se réinventent les réseaux sociaux"
14/06/18,11:15 AM,14/06/18,12:00 PM,"Maxi, Stereolux",https://web2day.co/evenements/adventures-in-kitty-herding/,276,Adventures in Kitty Herding,"A deep dive at where CrytpoKitties came from, how they became the most popular dapp in the world and what’s next.

Does that work?
 
","Mack FLAVELLE, Fat Cat @CryptoKitties
","Adventures in Kitty Herding
A deep dive at where CrytpoKitties came from, how they became the most popular dapp in the world and what’s next.

Does that work?
 

Mack FLAVELLE, Fat Cat @CryptoKitties


↔️=Maxi, Stereolux
🚀=Startup & entrepreneurship",↔️·🚀·Adventures in Kitty Herding
15/06/18,9:10 AM,15/06/18,9:50 AM,"Micro, Stereolux",https://web2day.co/evenements/agile-methods-are-dangerous/,278,Agile Methods are Dangerous,"
We all know that adhering to the principles of Agile can bring benefits to an individual, team or organisation. However, whilst Agile methods can help in realising those benefits, they can also bring a lot of danger to their users.


In this session discover what those risks are, how to avoid them, and the advice we should give others when they embark on an Agile journey.

													


🌳=Atlanbois
🚀=Startup & entrepreneurship",🌳·🚀·Accélérer la croissance de votre Startup avec le Cloud AWS
13/06/18,10:50 AM,13/06/18,12:00 PM,"Mediacampus, Forum",https://web2day.co/evenements/actions-societales-via-les-facebook-groups-comment-se-reinventent-les-reseau-sociaux/,280,"Actions sociétales via les Facebook Groups , comment se réinventent les réseaux sociaux",,"Zeynep ARAPOGLU, Co Founder @Bisikletli Kadin Inisiyatifi
Christian DELACHET, co-founder / CEO @Wanted Community
Antoine TRESSE, Gérant / gestion partenariats  @Act2 / Run Eco Team
","Actions sociétales via les Facebook Groups , comment se réinventent les réseaux sociaux

													
Zeynep ARAPOGLU, Co Founder @Bisikletli Kadin Inisiyatifi
Christian DELACHET, co-founder / CEO @Wanted Community
Antoine TRESSE, Gérant / gestion partenariats  @Act2 / Run Eco Team


🎓=Mediacampus, Forum
👐=Society & FTW","🎓·👐·Actions sociétales via les Facebook Groups , comment se réinventent les réseaux sociaux"
